id,enabled,pack,chapter,type,level,en,zh,tags,note
eng_glo_b1_l01_001,TRUE,glo_b1,l01,word,1,one,一,thing,
eng_glo_b1_l01_002,TRUE,glo_b1,l01,word,1,meet,認識；相遇,action,
eng_glo_b1_l01_003,TRUE,glo_b1,l01,word,1,class,班級,school,
eng_glo_b1_l01_004,TRUE,glo_b1,l01,word,1,here,這裡,word,
eng_glo_b1_l01_005,TRUE,glo_b1,l01,word,1,red,紅色,thing,
eng_glo_b1_l01_006,TRUE,glo_b1,l01,word,1,pen,筆,school,
eng_glo_b1_l01_007,TRUE,glo_b1,l01,word,1,English,英語,school,
eng_glo_b1_l01_008,TRUE,glo_b1,l01,word,1,teacher,老師,people,
eng_glo_b1_l02_001,TRUE,glo_b1,l02,word,1,two,二,thing,
eng_glo_b1_l02_002,TRUE,glo_b1,l02,word,1,blue,藍色,thing,
eng_glo_b1_l02_003,TRUE,glo_b1,l02,word,1,book,書,school,
eng_glo_b1_l02_004,TRUE,glo_b1,l02,word,1,green,綠色,thing,
eng_glo_b1_l02_005,TRUE,glo_b1,l02,word,1,pink,粉紅色,thing,
eng_glo_b1_l02_006,TRUE,glo_b1,l02,word,1,purple,紫色,thing,
eng_glo_b1_l02_007,TRUE,glo_b1,l02,word,1,pencil,鉛筆,school,
eng_glo_b1_l02_008,TRUE,glo_b1,l02,word,1,Miss,小姐；想念,people,
eng_glo_b1_l03_001,TRUE,glo_b1,l03,word,1,three,三,thing,
eng_glo_b1_l03_002,TRUE,glo_b1,l03,word,1,cap,棒球帽,thing,
eng_glo_b1_l03_003,TRUE,glo_b1,l03,word,1,come,來,action,
eng_glo_b1_l03_004,TRUE,glo_b1,l03,word,1,his,他的,word,
eng_glo_b1_l03_005,TRUE,glo_b1,l03,word,1,please,請,word,
eng_glo_b1_l03_006,TRUE,glo_b1,l03,word,1,yes,是的,word,
eng_glo_b1_l03_007,TRUE,glo_b1,l03,word,1,this,這,word,
eng_glo_b1_l03_008,TRUE,glo_b1,l03,word,1,whose,誰的,word,
eng_glo_b1_l04_001,TRUE,glo_b1,l04,word,1,four,四,thing,
eng_glo_b1_l04_002,TRUE,glo_b1,l04,word,1,brown,棕色,thing,
eng_glo_b1_l04_003,TRUE,glo_b1,l04,word,1,eraser,橡皮擦,school,
eng_glo_b1_l04_004,TRUE,glo_b1,l04,word,1,ruler,尺,school,
eng_glo_b1_l04_005,TRUE,glo_b1,l04,word,1,schoolbag,書包,school,
eng_glo_b1_l04_006,TRUE,glo_b1,l04,word,1,yellow,黃色,thing,
eng_glo_b1_l04_007,TRUE,glo_b1,l04,word,1,best,最好的,feel,
eng_glo_b1_l04_008,TRUE,glo_b1,l04,word,1,friend,朋友,people,
eng_glo_b1_l05_001,TRUE,glo_b1,l05,word,1,five,五,thing,
eng_glo_b1_l05_002,TRUE,glo_b1,l05,word,1,ball,球,thing,
eng_glo_b1_l05_003,TRUE,glo_b1,l05,word,1,kick,踢,action,
eng_glo_b1_l05_004,TRUE,glo_b1,l05,word,1,look,看,action,
eng_glo_b1_l05_005,TRUE,glo_b1,l05,word,1,sorry,抱歉,feel,
eng_glo_b1_l05_006,TRUE,glo_b1,l05,word,1,your,你（們）的,word,
eng_glo_b1_l05_007,TRUE,glo_b1,l05,word,1,no,不,word,
eng_glo_b1_l05_008,TRUE,glo_b1,l05,word,1,thank,謝謝,word,
